2024-05-06T21:24:45.180246 update_cores canneal [1,2,3]
2024-05-06T21:24:45.460842 update_cores canneal [2,3]
2024-05-06T21:24:45.481088 update_cores memcached [0,1]
2024-05-06T21:24:45.754391 update_cores memcached [0]
2024-05-06T21:24:45.783575 update_cores canneal [1,2,3]
2024-05-06T21:24:46.064331 update_cores canneal [2,3]
2024-05-06T21:24:46.082863 update_cores memcached [0,1]
2024-05-06T21:24:46.355827 update_cores memcached [0]
2024-05-06T21:24:46.385436 update_cores canneal [1,2,3]
2024-05-06T21:24:46.664331 update_cores canneal [2,3]
2024-05-06T21:24:46.684955 update_cores memcached [0,1]
2024-05-06T21:24:46.956952 update_cores memcached [0]
2024-05-06T21:24:46.985902 update_cores canneal [1,2,3]
2024-05-06T21:24:47.270142 update_cores canneal [2,3]
2024-05-06T21:24:47.288722 update_cores memcached [0,1]
2024-05-06T21:24:47.561989 update_cores memcached [0]
2024-05-06T21:24:47.588620 update_cores canneal [1,2,3]
2024-05-06T21:24:47.877712 update_cores canneal [2,3]
2024-05-06T21:24:47.897123 update_cores memcached [0,1]
2024-05-06T21:24:48.430527 update_cores memcached [0]
2024-05-06T21:24:48.458422 update_cores canneal [1,2,3]
2024-05-06T21:24:48.743142 update_cores canneal [2,3]
2024-05-06T21:24:48.763835 update_cores memcached [0,1]
2024-05-06T21:24:49.035087 update_cores memcached [0]
2024-05-06T21:24:49.062931 update_cores canneal [1,2,3]
2024-05-06T21:24:49.345149 update_cores canneal [2,3]
2024-05-06T21:24:49.363540 update_cores memcached [0,1]
2024-05-06T21:24:49.636050 update_cores memcached [0]
2024-05-06T21:24:49.662507 update_cores canneal [1,2,3]
2024-05-06T21:24:49.950053 update_cores canneal [2,3]
2024-05-06T21:24:49.969611 update_cores memcached [0,1]
2024-05-06T21:24:50.241875 update_cores memcached [0]
2024-05-06T21:24:50.267694 update_cores canneal [1,2,3]
2024-05-06T21:24:50.550071 update_cores canneal [2,3]
2024-05-06T21:24:50.567673 update_cores memcached [0,1]
2024-05-06T21:24:50.842336 update_cores memcached [0]
2024-05-06T21:24:50.867511 update_cores canneal [1,2,3]
